,issn,journal_name,pub_name,is_hybrid,category,url
3006,1988-3226,Materiales De Construccion,Consejo Superior de Investigaciones CientÔŅĹficas,0.0,Technology,http://materconstrucc.revistas.csic.es
3008,1573-7519,Archival Science,Springer,1.0,Other,No Url
3009,2303-9701,INTERNET AFRREV: An International Online Multidisciplinary Journal,African Research ReviewÔŅĹ(AFRREV),0.0,Other,No Url
3010,0860-021X,Biology of Sport,Other,0.0,Other,No Url
3011,1947-4008,Journal of Aviation Management and Education,Academic and Business Research Institute,0.0,Other,No Url
3013,1022-1036,International Journal of Renewable Energy Research,Other,0.0,Other,No Url
3014,1613-2238,Journal of Public Health,Springer,1.0,Other,No Url
3015,1309-4653,Turkish Journal of Computer and Mathematics Education,Karadeniz Technical University,0.0,Education | Technology,http://www.dergipark.ulakbim.gov.tr/turkbilmat/
3016,1112-3613,El-Bahith REVIEW,University Kasdi Merbah Ouargla- Algeria,0.0,Social Sciences,http://revues.univ-ouargla.dz/index.php/acceill/revue-el-bahith
3019,1573-689X,Journal of Medical Systems,Springer,1.0,Other,No Url
3020,1557-7112,Social Medicine,Social Medicine Publication Group,0.0,Medicine,http://www.socialmedicine.info
3021,1614-7456,Artificial Life and Robotics,Springer,1.0,Other,No Url
3023,2229-3957,International Journal of Distributed and Parallel Systems (IJDPS),AIRCC Publishing Corporation,0.0,Other,No Url
3024,1805-9511,Pedagogicka Orientace,Czech Pedagogical Society,0.0,Education,http://www.ped.muni.cz/pedor
3025,2320-866X,Journal of Exclusive Management Science (JEMS),Archers & Elevators Publishing House,0.0,Other,No Url
3026,2162-9722,American Journal of Advanced Food Science and Technology,Columbia International Publishing,0.0,Other,No Url
3027,1179-5972,Biomedical Engineering and Computational Biology,Libertas Academica,0.0,Science,http://www.la-press.com/biomedical-engineering-and-computational-biology-journal-j170
3028,1689-1716,Archives of Forensic Medicine and Criminology,Termedia Publishing House,0.0,Medicine | Social Sciences,http://www.termedia.pl/Journal/Archives_of_Forensic_Medicine_and_Criminology-82
3030,2375-1495,AIMS Bioengineering,AIMS Press ,0.0,Technology,http://www.aimspress.com/journal/Bioengineering
3031,0976-8785,Journal of Virology Research,BioInfo Publications,0.0,Other,No Url
3032,2615-2619,International Journal of Medical Science and Public Health,Other,0.0,Other,No Url
3034,2059-7835,The AshEse Journal of Business Management (AJBM),AshEse Visionary,0.0,Other,No Url
3035,2423-5652,Trends in Pharmaceutical Sciences,Shiraz University of Medical Sciences,0.0,Medicine,http://tips.sums.ac.ir/index.php/TiPS/index
3036,1848-5448,Cardiologia Croatica,Croatian Cardiac Society,0.0,Medicine,http://www.kardio.hr/cardiologia-croatica/arhiva.html
3038,2307-5163,Revista De La SecretarÔŅĹa Del Tribunal Permanente De RevisiÔŅĹn,SecretarÔŅĹa del Tribunal Permanente de RevisiÔŅĹn,0.0,Law,http://www.revistastpr.com/index.php/rstpr
3039,1989-5666,Actualidad JurÔŅĹdica Ambiental,Centro Internacional de Estudios de Derecho Ambiental,0.0,Law,http://www.actualidadjuridicaambiental.com
3040,2320-0804,International Journal of Engineering Associates,Other,0.0,Other,No Url
3041,1432-0975,Coral Reefs,Springer,1.0,Other,No Url
3043,1752-0509,BMC Systems Biology,Biomed Central,0.0,MOLECULAR AND CELL BIOLOGY,No Url
3044,2163-1018,American Journal of Bioengineering and Biotechnology,Columbia International Publishing,0.0,Other,No Url
3046,2314-596X,International Journal of Bacteriology,Hindawi Publishing Corporation,0.0,Science,https://www.hindawi.com/journals/ijb/
3047,2427-0466,Anglophonia,Presses Universitaires du Midi,0.0,Language and Literature,http://anglophonia.revues.org
3048,0976-9757,International Journal of Distributed and Parallel Systems (IJDPS),AIRCC Publishing Corporation,0.0,Other,No Url
3049,1573-6938,Experimental Economics,Springer,1.0,Other,No Url
3051,1296-1309,International Journal of Humanities and Cultural Studies,Other,0.0,Other,No Url
3053,2278-0513,Clinical Cancer Investigation Journal,Wolters Kluwer Medknow Publications,0.0,Medicine,http://www.ccij-online.org
3054,1842-8088,Informatica Economica Journal,Inforec Association,0.0,Technology,http://revistaie.ase.ro
3055,1349-8029,Neurologia Medico-Chirurgica,Japan Neurosurgical Soc,0.0,Other,No Url
3057,2211-419X,African Journal of Emergency Medicine,Elsevier,0.0,Medicine,http://www.journals.elsevier.com/african-journal-of-emergency-medicine/
3058,2327-1523,Reviews in Theoretical Science,American Scientific Publishers,0.0,Other,No Url
3059,2090-5173,ISRN Pharmacology,Hindawi Publishing Corporation,0.0,Medicine,http://www.isrn.com/journals/pharmacology/
3060,2332-7839,Journal of Sports Science,David Publishing,0.0,Other,No Url
3061,0891-2017,Computational Linguistics,Other,0.0,Other,No Url
3062,1614-2373,Swahili Forum,University of Leipzig,0.0,Language and Literature,http://www.uni-leipzig.de/~afrika/swafo/
3063,1925-1939,Bt Research,BioPublisher,0.0,Other,No Url
3064,1836-8808,Journal of Social Inclusion,Griffith University,0.0,Social Sciences,http://josi.journals.griffith.edu.au
3065,2372-5214,Journal of Mathematical Sciences,Betty Jones & Sisters Publishing,0.0,Other,No Url
3067,2347-1573,Innovare Journal of Engineering & Technology,Innovare Academic Sciencies,0.0,Other,No Url
3069,1869-1897,Science China Earth Sciences,Springer,1.0,Other,No Url
3070,2231-2730,Journal of Anaesthesiology Clinical Pharmacology,Medknow Publications,0.0,Medicine,http://www.joacp.org
3071,2198-994X,"Renewables: Wind, Water, and Solar",Springer,0.0,Other,No Url
3072,1698-1703,Experiment,Other,0.0,Other,No Url
3073,1600-0684,Journal of Medical Radiation Sciences,Wiley,0.0,Other,No Url
3075,2160-8288,Tremor and Other Hyperkinetic Movements,"Center for Digital Research and Scholarship, Columbia University Libraries/Information Services",0.0,Medicine,http://tremorjournal.org
3076,0976-2213,International Journal of UbiComp (IJU),AIRCC Publishing Corporation,0.0,Other,No Url
3078,2075-017X,International Journal of Modern Education and Computer Science,MECS Publisher,0.0,Science,http://www.mecs-press.org/ijmecs/
3079,1857-8640,Centrum,Other,0.0,Other,No Url
3080,2236-1308,Revista Monografias Ambientais,Federal University of Santa Maria,0.0,Education,http://cascavel.ufsm.br/revistas/ojs-2.2.2/index.php/remoa/index
3081,1837-5391,Cosmopolitan Civil Societies: An Interdisciplinary Journal,UTS ePRESS,0.0,Social Sciences,https://epress.lib.uts.edu.au/journals/index.php/mcs
3082,1477-3155,Journal of Nanobiotechnology,BioMed Central Ltd,0.0,Other,No Url
3083,2346-3775,Tropical Grasslands - Forrajes Tropicales,Centro Internacional de Agricultura Tropical,0.0,Agriculture,http://www.tropicalgrasslands.info
3084,2460-1152,Jurnal Economia,Universitas Negeri Yogyakarta,0.0,Social Sciences,http://journal.uny.ac.id/index.php/economia
3085,1543-1851,Jom,Springer,1.0,Other,No Url
3086,2394-370X,Research Journal of Bioinformatics,e-journal,0.0,Other,No Url
3087,2299-8993,Journal of Ecological Engineering,Polish Society of Ecological Engineering (PTIE),0.0,Technology,http://www.jeeng.net
3088,2197-9995,Journal of Computers in Education,Springer,1.0,Other,No Url
3089,2409-3580,International Review of Engineering and Computer Sciences (IRECS),Academy of IRMBR International Research in Management and Business Realities,0.0,Other,No Url
3090,2456-0189,International Journal of Applied Pharmaceutical & Biological Research,Other,0.0,Other,No Url
3091,2083-828X,Archives of Psychiatry and Psychotherapy ,Polskie Towarzystwo Psychiatryczne ,0.0,Medicine,http://www.archivespp.pl/
3092,0976-9102,ICTACT Journal on Image and Video Processing,ICT Academy of Tamil Nadu,0.0,Technology,http://ictactjournals.in/IJIVP/AboutIJIVP.aspx
3093,2053-7565,Climate Change Responses,BioMed Central,0.0,Geography. Anthropology. Recreation,http://www.climatechangeresponses.com/
3094,2284-5666,Hiperboreea Journal,Other,0.0,Other,No Url
3095,1220-1766,Studies in Informatics and Control,NATL INST R&D INFORMATICS-ICI,0.0,Other,No Url
3096,2221-4283,Asian Transactions on Science & Technology (ATST),Asian Transactions,0.0,Other,No Url
3097,2477-6580,Jurnal Penelitian,P3M STAIN Kudus,0.0,Philosophy. Psychology. Religion,http://journal.stainkudus.ac.id/index.php/jurnalPenelitian
3098,2415-2404,Gandhara Journal of Research in Social Science,Gandhara Research Society,0.0,Social Sciences,http://www.grsociety.org/about-gjrss/
3099,2322-2816,Medical Laboratory Journal,Golestan University of Medical Sciences ,0.0,Medicine,http://www.goums.ac.ir/mljgoums/index.php?&slct_pg_id=38&sid=1&slc_lang=fa
3101,2211-050X,Mathematics Education Research Journal,Springer,1.0,Other,No Url
3102,2304-6775,Publications,MDPI,0.0,Scholarly Publishing,http://www.mdpi.com/journal/publications
3103,1982-2553,GalÔŅĹxia,PontÔŅĹficia Universidade CatÔŅĹlica de SÔŅĹo Paulo,0.0,Language and Literature,http://revistas.pucsp.br/galaxia
3105,1980-5527,Revista De Economia ContemporÔŅĹnea,Universidade Federal do Rio de Janeiro,0.0,Social Sciences,http://www.scielo.br/scielo.php?script=sci_serial&pid=1415-9848&lng=en&nrm=iso
3106,2006-9758,Journal of Plant Breeding and Crop Science,Academic Journals,0.0,Other,No Url
3107,2160-3855,Functional Foods in Health and Disease,Food Science Publisher,0.0,Technology,http://www.ffhdj.com
3108,1991-959X,Geoscientific Model Development,Other,0.0,Other,No Url
3109,2076-7366,International Journal of Research and Reviews in Applied Sciences,Academic Research Publishing Agency,0.0,Other,No Url
3110,1880-828X,Journal of Hard Tissue Biology,J-Stage,0.0,Other,No Url
3111,1390-9967,OdontologÔŅĹA,Universidad Central del Ecuador,0.0,Medicine,http://revistadigital.uce.edu.ec/index.php/ODONTOLOGIA
3112,2081-3856,Translational Neuroscience,Other,0.0,Other,No Url
3113,1432-2161,Skeletal Radiology,Springer,1.0,Other,No Url
3114,1572-9273,Order,Springer,1.0,Other,No Url
3117,2386-3889,Studia Historica : Historica Moderna,Ediciones Universidad de Salamanca,0.0,History (General) and history of Europe,http://campus.usal.es/~revistas_trabajo/index.php/Studia_Historica/
3118,1875-9343,The Ergonomics Open Journal,Bentham Open,0.0,Other,No Url
3119,2248-8391,GiST : Education and Learning Research Journal,InstituciÔŅĹn Universitaria Colombo Americana ,0.0,Education,http://gisteducation.weebly.com/
3121,0213-6163,European Journal of Psychiatry,Universidad De Zaragoza,0.0,Psychiatry,No Url
3122,2319-7714,International Journal of Humanities and Social Science Invention,Other,0.0,Other,No Url
3124,1178-7058,International Journal of Nephrology and Renovascular Disease,Dove Medical Press,0.0,Medicine,http://www.dovepress.com/international-journal-of-nephrology-and-renovascular-disease-journal
3125,2198-2775,Hmd Praxis Der Wirtschaftsinformatik,Springer,1.0,Other,No Url
3126,2423-2428,International Journal of Medical Science and Public Health,Other,0.0,Other,No Url
3129,0719-4285,Fronteras: Revista De Ciencias Sociales Y Humanidades,Universidad de La Frontera,0.0,General Works,http://publicacionescienciassociales.ufro.cl/index.php/fronteras/index
3130,1478-4491,Human Resources for Health,Biomed Central,0.0,Other,No Url
3131,1606-0997,Journal of Health Population and Nutrition,Other,0.0,Other,No Url
3132,1775-433X,Questions Vives,UniversitÔŅĹ de Provence,0.0,Education,http://questionsvives.revues.org/
3133,1866-9964,Cognitive Computation,Springer,1.0,Other,No Url
3134,2008-2150,Iranian Journal of Pediatrics,Tehran University of Medical Sciences (Tums) Publications,0.0,Other,No Url
3136,2319-0698,Revista Acesso Livre,AssociaÔŅĹÔŅĹo dos Servidores do Arquivo Nacional ,0.0,Auxiliary sciences of history,https://revistaacessolivre.wordpress.com
3137,1730-3494,Advanced Research Journal of Pharmacy and Pharmacology,Advanced Scholars Journals,0.0,Other,No Url
3138,1476-4598,Molecular Cancer,BioMed Central,0.0,Medicine,No Url
3139,2984-8881,Donnish Journal of Fine and Studio Art (DJFSA),Donnish Journals,0.0,Other,No Url
3140,0974-8998,Journal of Networking Technology,Digital Information Research Foundation (DIRF),0.0,Other,No Url
3141,2300-2298,Dependence Modeling,De Gruyter Open,0.0,Science,http://www.degruyter.com/view/j/demo
3143,1820-7413,Science of Sintering,"International Institute for the Science of Sintering, Beograd",0.0,Science,http://www.doiserbia.nb.rs/journal.aspx?issn=0350-820X
3144,1573-7020,Journal of Economic Growth,Springer,1.0,Other,No Url
3145,0169-555X,Geomorphology,Elsevier,1.0,Other,No Url
3146,1336-6939,Malacologica Bohemoslovaca,Slovak Academy of Sciences,0.0,Science,http://mollusca.sav.sk/
3147,2314-8497,Dataset Papers in Science,Hindawi Publishing Corporation,0.0,Medicine | Science,https://www.hindawi.com/journals/dpis/
3148,1618-2650,Analytical and Bioanalytical Chemistry,Springer,1.0,Other,No Url
3149,2379-1047,American Research Journal of Business and Management,American Research Journals,0.0,Other,No Url
3150,1129-1136,International Journal of Renewable Energy Research,Other,0.0,Other,No Url
3152,1687-8108,Advances in Condensed Matter Physics,Other,0.0,Other,No Url
3153,2168-8184,Cureus,"Cureus, Inc.",0.0,Medicine,http://www.cureus.com
3154,1424-3903,Pancreatology,Elsevier,1.0,Gastroenterology,No Url
3155,1559-3061,Journal of Ethics and Social Philosophy,University of Southern California,0.0,Philosophy. Psychology. Religion,http://jesp.org/
3158,1932-8478,Contemporary Aesthetics,"Contemporary Aesthetics, Inc.",0.0,Philosophy. Psychology. Religion,http://www.contempaesthetics.org/
3159,2327-7068,Journal of Business Cases and Applications,Academic and Business Research Institute,0.0,Other,No Url
3161,2300-6633,Annual of Navigation,De Gruyter Open,0.0,Naval Science,http://www.degruyter.com/view/j/aon
3163,2317-3475,Revista (Con)textos LinguÔŅĹsticos,Universidade Federal do EspÔŅĹrito Santo,0.0,Language and Literature,http://www.periodicos.ufes.br/contextoslinguisticos
3164,2953-2108,International Journal of Malaria and Tropical Diseases,Advanced Scholars Journals,0.0,Other,No Url
3165,1869-215X,Aquaculture Environment Interactions,Other,0.0,Other,No Url
3167,1212-1800,Czech Journal of Food Sciences,Self Owned - Non-Profit Society,0.0,FOOD SCIENCE,No Url
3168,2145-5082,Mundo AmazÔŅĹnico,Universidad Nacional de Colombia,0.0,General Works,http://www.revistas.unal.edu.co/index.php/imanimundo/
3170,1993-0771,Comparative Cytogenetics,Other,0.0,Other,No Url
3171,2376-7553,International Journal of Computational Intelligence and Pattern Recognition,Columbia International Publishing,0.0,Other,No Url
3172,1994-7933,Trends in Agricultural Economics,Asian Network for Scientific Information (ansinet),0.0,Other,No Url
3173,1710-3495,Progress in Food Science and Technology,Advanced Scholars Journals,0.0,Other,No Url
3174,2455-7404,International Journal of Multidisciplinary Education and Research,Other,0.0,Other,No Url
3175,2178-0471,Exatas Online,Universidade Estadual do Sudoeste da Bahia,0.0,Science,http://www2.uesb.br/exatasonline/
3176,2296-9144,Frontiers in Robotics and AI,Frontiers Media S.A.,0.0,Technology,http://www.frontiersin.org/Robotics_and_AI
3177,9521-4569,International Journal of Fishery Science and Aquaculture,Advanced Scholars Journals,0.0,Other,No Url
3178,1806-9460,SÔŅĹo Paulo Medical Journal,AssociaÔŅĹÔŅĹo Paulista de Medicina,0.0,Medicine,http://www.scielo.br/spmj
3181,2302-5743,International Journal of Science and Engineering ,Diponegoro University,0.0,Technology,http://www.ejournal.undip.ac.id/index.php/ijse/
3182,2472-9779,Journal of Computer Science and Software Development,Cresco Online Publishing,0.0,Other,No Url
3183,2304-4322,EducaciÔŅĹn,Pontificia Universidad CatÔŅĹlica del PerÔŅĹ,0.0,Education,http://revistas.pucp.edu.pe/index.php/educacion
3184,2395-2946,International Journal of Innovative Trends in Engineering,Other,0.0,Other,No Url
3186,2284-7197,Journal of Applied Engineering Sciences,De Gruyter Open,0.0,Technology,http://www.degruyter.com/view/j/jaes
3187,2074-7705,Verbum Et Ecclesia ,AOSIS,0.0,Philosophy. Psychology. Religion,http://www.ve.org.za
3188,1433-299X,Formal Aspects of Computing,Springer,1.0,Other,No Url
3189,2384-9428,Archeomatica,mediaGEO soc. coop.,0.0,Auxiliary sciences of history,http://mediageo.it/ojs/index.php/archeomatica
3192,2381-1463,AASCIT Journal of BiologyÔŅĹ,American Association for Science and TechnologyÔŅĹ(AASCIT),0.0,Other,No Url
3194,1804-2112,Acta Oeconomica Pragensia,University of Economics Prague,0.0,Social Sciences,http://www.vse.cz/aop/
3195,2260-5029,Synergies Algerie,GERFLINT,0.0,Language and Literature,http://gerflint.fr/synergies-algerie
3196,1852-4907,Revista Argentina De Estudios De JuventudÔŅĹ,"Universidad Nacional de La Plata, Facultad de Periodismo y ComunicaciÔŅĹn Social",0.0,Language and Literature,http://perio.unlp.edu.ar/ojs/index.php/revistadejuventud
3197,2394-4714,Communications on Applied Electronics,Other,0.0,Other,No Url
3198,2195-9269,Natural Hazards and Earth System Sciences Discussions,Copernicus Publications,0.0,Science,http://www.nat-hazards-earth-syst-sci-discuss.net
3199,2984-8865,Donnish Journal of English and Literature (DJEL),Donnish Journals,0.0,Other,No Url
3200,2423-4451,Middle East Journal of Rehabilitation and Health,Semnan Univeristy of Medical Sciences,0.0,Medicine,http://jrehabilhealth.com/?page=home
3201,2297-105X,Sui-Generis,Daniel Huerlimann,0.0,Law,http://sui-generis.ch
3202,2146-4138,International Journal of Economics and Financial Issues,Econjournals,0.0,Other,No Url
3203,2052-2975,New Microbes and New Infections,Elsevier,0.0,Medicine,http://www.journals.elsevier.com/new-microbes-and-new-infections/
3204,2086-6682,Jurnal Tanah Tropika,University of Lampung,0.0,Science,http://journal.unila.ac.id/index.php/tropicalsoil
3205,2070-0245,Journal of Scientific Research,Rajshahi University,0.0,Science,http://www.banglajol.info/index.php/JSR
3207,2229-3922,Signal & Image Processing : An International Journal (SIPIJ),AIRCC Publishing Corporation,0.0,Other,No Url
3208,1334-2606,Food Technology and Biotechnology,University of Zagreb,0.0,Technology,http://www.ftb.com.hr/
3209,2049-9957,Infectious Diseases of Poverty,BioMed Central,0.0,Other,No Url
3212,6633-2016,International Journal of Engineering Trends and Technology,Other,0.0,Other,No Url
3213,2336-2960,International Journal of Entrepreneurial Knowledge,De Gruyter Open,0.0,Social Sciences,http://www.degruyter.com/view/j/ijek
3215,1432-1416,Journal of Mathematical Biology,Springer,1.0,Other,No Url
3216,2384-6151,ÔŅĹInternational Journal of Economic and Business Management,Academic Research Journals,0.0,Other,No Url
3217,2008-8213,International Journal of Preventive Medicine,Isfahan University of Medical Sciences,0.0,Medicine,http://www.ijpm.ir
3218,2090-2921,Journal of Orthopaedics and Trauma (JOT),Ashdin Publishing,0.0,Other,No Url
3219,2381-893X,Austin Journal of Anesthesia and Analgesia,Austin Publishing Group,0.0,Other,No Url
3220,1733-3490,Archives of Metallurgy and Materials,Polish Academy of Sciences,0.0,PHYSICS AND CHEMISTRY,No Url
3221,0975-9158,International Journal of Genetics,BioInfo Publications,0.0,Other,No Url
3223,1925-4776,English Language and Literature Studies,Canadian Center of Science and Education,0.0,Other,No Url
3225,2248-6798,EnunciaciÔŅĹn,Universidad Distrital Francisco JosÔŅĹ de Caldas,0.0,Education,http://revistas.udistrital.edu.co/ojs/index.php/enunc/index
3226,1471-244X,BMC Psychiatry,Biomed Central,0.0,PSYCHIATRY,No Url
3227,2529-9638,Revista Interuniversitaria De InvestigaciÔŅĹn en TecnologÔŅĹa Educativa,"Editum, Ediciones de la Universidad de Murcia",0.0,Education,http://revistas.um.es/riite/
3228,1572-8153,Mobile Networks and Applications,Springer,1.0,Other,No Url
3229,2198-3844,Advanced Science,Wiley,0.0,Science,No Url
3231,3897-3906,International Journal of Pediatrics,Other,0.0,Other,No Url
3232,1522-1709,Sleep and Breathing,Springer,1.0,Other,No Url
3233,2231-4946,International Journal of Computer Applications in Engineering Sciences,Other,0.0,Other,No Url
3234,1663-070X,Frontiers in Evolutionary Neuroscience,Frontiers Media S.A.,0.0,Medicine,http://frontiersin.org/neuroscience/evolutionaryneuroscience/
3235,2345-6744,International Journal of Organizational Leaderhip,Industrial Management Institiute,0.0,Social Sciences,http://aimijournal.com/Pages/Public/JournalGate.aspx?Action=0&SubjectId=1a5b0bc1-7ac9-4554-bcde-4c202a546bf4&JournalId=d09bbfae-ea92-4d65-b205-76fbf8c1ad58
3236,2095-6231,Bone Research,Nature Publishing Group,0.0,Science,http://www.nature.com/boneres/
3237,1746-5893,"Law, Environment and Development Journal",School of Oriental and African Studies,0.0,Law,http://www.lead-journal.org/
3238,2014-3591,International Journal of Educational Psychology,Hipatia Press,0.0,Philosophy. Psychology. Religion,http://hipatiapress.com/hpjournals/index.php/ijep
3239,1993-8225,Journal of Electrical and Electronics Engineering Research,Academic Journals,0.0,Other,No Url
3241,2314-4785,Journal of Mathematics,Hindawi Publishing Corporation,0.0,Science,https://www.hindawi.com/journals/jmath/
3242,2334-2978,Journal of Education and Human Development,American Research Institute for Policy Development,0.0,Other,No Url
3243,2141-6575,Journal of Hospitality Management and Tourism,Academic Journals,0.0,Other,No Url
3244,1338-5267,Acta Technologica Agriculturae,De Gruyter Open,0.0,Agriculture,http://www.degruyter.com/view/j/ata
3245,2527-6646,Human Falah: Jurnal Ekonomi Dan Bisnis Islam,Universitas Islam Negeri Sumatera Utara,0.0,Philosophy. Psychology. Religion,http://jurnal.uinsu.ac.id/index.php/humanfalah
3246,1874-091X,The Open Biochemistry Journal,Bentham Open,0.0,Other,No Url
3248,1985-1553,International Journal of Computer Science and Security (IJCSS),Computer Science Journals,0.0,Other,No Url
3250,2374-9326,Journal of Transplantation & Stem Cell Biology,Avens Publishing Group,0.0,Other,No Url
3251,2229-5666,Journal of Reliability and Statistical Studies,Ankur Printing Palace,0.0,Science,http://www.jrss.in/
3252,2472-8411,Trends and Advancements in Biochemistry,Cresco Online Publishing,0.0,Other,No Url
3253,2312-931X,Automation Technological and Business-Processes,Odessa National Academy of Food Technologies,0.0,Technology,http://www.journal-atbp.com/ 
3254,1996-840X,South African Journal of Chemistry,Sabinet,0.0,Science,http://www.journals.co.za/sajchem/
3256,2189-7255,Fujita Medical Journal,Fujita Medical Journal,0.0,Medicine,http://www.fujita-hu.ac.jp/~igakkai/FMJ/FMJ_toppage.html
3257,2505-1059,Journal of Agricultural Research and Innovative Technologies,Brainy Buzz,0.0,Other,No Url
3258,2502-1516,J@ti Undip: Jurnal Teknik Industri,Diponegoro University,0.0,Technology,http://ejournal.undip.ac.id/index.php/jgti
3259,1573-3254,Aids and Behavior,Springer,1.0,Other,No Url
3260,2236-7284,Revista Da Faculdade De Direito UFPR,Universidade Federal do ParanÔŅĹ,0.0,Law,http://ojs.c3sl.ufpr.br/ojs/index.php/direito/index
3261,2054-9040,COPD Research and Practice,BioMed Central,0.0,Medicine,http://www.copdrp.com/
3262,1875-9203,Shock and Vibration,Hindawi Publishing Corporation,0.0,Science,https://www.hindawi.com/journals/sv/
3263,2346-4712,"GÔŅĹndola, EnseÔŅĹanza Y Aprendizaje De Las Ciencias",Universidad Distrital Francisco JosÔŅĹ de Caldas,0.0,Education,http://revistas.udistrital.edu.co/ojs/index.php/GDLA/index
3264,2375-4079,Global Journal of Geriatrics Nursing,New Century Science Press LLC,0.0,Medicine,http://journal.newcenturyscience.com/index.php/gjgn
3268,9714-1800,Bioinformation,Other,0.0,Other,No Url
3269,1989-5453,Pharmacoeconomics Spanish Research Articles,Springer,1.0,Other,No Url
3270,2083-6139,Archives of Polish Fisheries,De Gruyter Open,0.0,Agriculture,http://www.degruyter.com/view/j/aopf
3271,1734-4492,International Journal of Applied Mechanics and Engineering,De Gruyter Open,0.0,Technology,http://www.degruyter.com/view/j/ijame
3272,0944-2006,Zoology,Elsevier,1.0,Ecology and Evolution,No Url
3274,2238-1171,Revista De CiÔŅĹncias AgroveterinÔŅĹrias,Universidade do Estado de Santa Catarina,0.0,Agriculture,http://revistas.udesc.br/index.php/agroveterinaria/
3275,0809-6724,Nordic Journal of Digital Literacy ,Universitetsforlaget,0.0,Education,https://www.idunn.no/dk
3277,1436-6282,Trauma Und Berufskrankheit,Springer,1.0,Other,No Url
3278,2472-9590,International Journal of Chemical and Biomedical Science,American Association for Science and TechnologyÔŅĹ(AASCIT),0.0,Other,No Url
3279,2310-5720,European Journal of Literature and Linguistics,ÔŅĹEast WestÔŅĹ Association For Advanced Studies and Higher Education,0.0,Other,No Url
3280,2248-9010,International Review of Social Sciences and Humanities,International Review of Social Sciences and Humanities,0.0,Social Sciences,http://www.irssh.com
3281,2331-1940,Cogent Physics,Cogent OA,0.0,Science,http://cogentoa.tandfonline.com/journal/oaph20
3282,1980-5497,Revista Brasileira De Epidemiologia,AssociaÔŅĹÔŅĹo Brasileira de PÔŅĹs-GraduaÔŅĹÔŅĹo em SaÔŅĹde Coletiva,0.0,Medicine,http://www.scielo.br/scielo.php/script_sci_serial/pid_1415-790X/lng_en/nrm_iso/lng_en
3284,2257-6614,"Oilseeds and Fats, Crops and Lipids",EDP Sciences,0.0,Technology,http://www.ocl-journal.org/
3286,1572-9966,Constitutional Political Economy,Springer,1.0,Other,No Url
3288,1852-4516,Informes CientÔŅĹficos Y TÔŅĹcnicos (Universidad Nacional De La Patagonia Austral),Universidad Nacional de la Patagonia Austral,0.0,General Works,http://secyt.unpa.edu.ar/journal/index.php/ICTUNPA
3290,2214-109X,Lancet Global Health,Elsevier,0.0,Medicine,No Url
3291,8555-2016,American Journal of Innovative Research and Applied Sciences,Other,0.0,Other,No Url
3292,1843-3723,Annals of the University of Craiova: Economic Sciences Series,Universitaria Craiova,0.0,Social Sciences,http://feaa.ucv.ro/annals/index.html
3294,1652-8670,International Journal of Ageing and Later Life,LinkÔŅĹping University Electronic Press,0.0,Social Sciences,http://www.ep.liu.se/ej/ijal/
3296,2469-5726,Journal of Rheumatic Diseases and Treatment,ClinMed International Library,0.0,Other,No Url
3297,1596-9819,International Journal of Health Research,Other,0.0,Other,No Url
3298,1744-4292,Molecular Systems Biology,Wiley,0.0,Science,No Url
3299,2221-5905,Computer Science Journal,Other,0.0,Other,No Url
3300,1613-7574,Procare,Springer,1.0,Other,No Url
3302,2453-7306,Acta Mechatronica,"4S go, s.r.o.",0.0,Technology,http://actamechatronica.eu
3303,2410-6356,"Ciencia, TecnologÔŅĹa Y Salud",Universidad de San Carlos de Guatemala,0.0,Agriculture,http://digi.usac.edu.gt/ojsrevistas/index.php/cytes
3304,0301-4738,Indian Journal of Ophthalmology,Medknow Publications,0.0,Other,No Url
3305,1751-7192,Green Chemistry Letters and Reviews,Taylor & Francis Group,0.0,Science,http://www.tandfonline.com/TGCL
3306,2256-5647,Anuario Colombiano De Historia Social Y De La Cultura,Universidad Nacional de Colombia,0.0,History (General) and history of Europe,http://www.revistas.unal.edu.co/index.php/achsc
3307,2326-3024,Journal of Computational Intelligence and  Electronic Systems,American Scientific Publishers,0.0,Other,No Url
3308,No Url,No Url,No Url,No Url,No Url,No Url
3310,2372-5079,International Journal of Health Sciences,American Research Institute for Policy Development,0.0,Other,No Url
3311,2214-7691,Merkourios,Ubiquity Press,0.0,Law,http://www.utrechtjournal.org/
3314,2304-9405,Modern Traffic and Transportation Engineering Research,American V-King Scientific Publishing,0.0,Other,No Url
3315,2348-229X,Perspectives in Medical Research,Prathima Institute of Medical Sciences,0.0,Medicine,http://www.pimr.org.in/
3316,1224-1784,Analele Stiintifice Ale Universitatii Ovidius Constanta-Seria Matematica,Other,0.0,Other,No Url
3318,1179-2744,Eye and Brain,Dove Medical Press,0.0,Medicine,http://www.dovepress.com/eye-and-brain-journal
3319,0017-808X,Harvard Journal on Legislation,Harvard Law School,0.0,Law,No Url
3322,2179-7331,AntropolÔŅĹtica : Revista ContemporÔŅĹnea De Antropologia,Universidade Federal Fluminense,0.0,Geography. Anthropology. Recreation,http://www.revistas.uff.br/index.php/antropolitica
3323,2061-5094,Interventional Medicine & Applied Science,AkadÔŅĹmiai KiadÔŅĹ,0.0,Medicine,http://www.akademiai.com/content/121666
3324,1756-8285,International Journal of Spray and Combustion Dynamics,SAGE Publishing,0.0,Technology,http://scd.sagepub.com/
